"Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","CouncilArea","Lattitude","Longtitude"
"Glen Iris","23 Somerset Rd","3","h",1770000,"SP","Noel","18-03-17",9.2,"3146","3","1","3",603,228.135416666667,"Boroondara",-37.8503,145.0754
"Glen Iris","10 Yeovil Rd","3","h",1765000,"S","Philip","18-03-17",9.2,"3146","3","1","2",650,228.135416666667,"Boroondara",-37.8505,145.0852
"Glen Iris","14 Rosedale Rd","3","h",2000000,"PI","Jellis","18-06-16",9.2,"3146","2","1","2",821,228.135416666667,"Boroondara",-37.8581,145.0685
"Glen Iris","17 Rosedale Rd","2","h",1600000,"PI","Noel","18-06-16",9.2,"3146","2","2","2",718,184,"Boroondara",-37.858,145.0696
"Glen Iris","20 Ruskin Rd","3","h",1880000,"S","RT","18-06-16",9.2,"3146","3","2","2",668,228.135416666667,"Boroondara",-37.8489,145.0711
"Glen Iris","3 Florence St","5","h",2352500,"PI","Marshall","19-11-16",9.2,"3146","5","3","2",642,336,"Boroondara",-37.859,145.0656
"Glen Iris","23 Flowerdale Rd","5","h",3860000,"S","Marshall","19-11-16",9.2,"3146","5","4","2",830,520,"Boroondara",-37.8563,145.072
"Glen Iris","31 Gardiner Pde","4","h",2625000,"PI","Marshall","19-11-16",9.2,"3146","4","3","2",840,326,"Boroondara",-37.8538,145.0641
"Glen Iris","2b York Rd","5","h",1650000,"PI","Noel","22-05-16",9.2,"3146","5","2","2",400,228.135416666667,"Stonnington",-37.8572,145.0555
"Glen Iris","15 Howitt St","4","h",3010000,"S","Kay","24-09-16",9.2,"3146","3","3","2",677,228.135416666667,"Boroondara",-37.8476,145.0554
"Glen Iris","98 Bath Rd","4","h",1950000,"SP","Marshall","25-02-17",9.2,"3146","4","2","2",775,155,"Boroondara",-37.8561,145.0934
"Glen Iris","28 Ferndale Rd","3","h",2200000,"S","Marshall","25-02-17",9.2,"3146","3","1","2",700,142,"Boroondara",-37.8553,145.0711
"Glen Iris","32 Howie St","3","h",1751000,"S","Jellis","25-02-17",9.2,"3146","3","1","3",609,140,"Boroondara",-37.8542,145.0733
"Glen Iris","22 Kyarra Rd","4","h",1857000,"S","Kay","25-02-17",9.2,"3146","4","2","3",548,205,"Stonnington",-37.8536,145.0547
"Glen Iris","8 Rix St","3","h",1500000,"S","RT","25-02-17",9.2,"3146","3","1","3",401,107,"Boroondara",-37.8471,145.051
"Glen Iris","78 Valley Pde","4","h",2725000,"S","Marshall","25-02-17",9.2,"3146","4","3","2",603,246,"Boroondara",-37.8521,145.0657
"Glen Iris","8 Hadley Ct","2","h",1723000,"S","Jellis","26-07-16",9.2,"3146","2","1","1",553,228.135416666667,"Boroondara",-37.8464,145.0511
"Glen Iris","1687 Malvern Rd","3","h",2800000,"S","Greg","26-07-16",9.2,"3146","3","1","2",762,153,"Stonnington",-37.8575,145.0554
"Glen Iris","21 Beatrice St","3","h",1665000,"S","hockingstuart","27-06-16",9.2,"3146","3","1","2",685,143,"Boroondara",-37.8538,145.0842
"Glen Iris","60 Madeline St","3","h",1420000,"S","Buxton","27-06-16",9.2,"3146","3","1","2",615,607,"Boroondara",-37.8578,145.0919
"Glen Iris","44A Beryl St","3","h",1550000,"S","Jellis","27-11-16",9.2,"3146","3","2","2",307,228.135416666667,"Boroondara",-37.8531,145.086
"Glen Iris","53 Madeline St","4","h",1920000,"S","Marshall","27-11-16",9.2,"3146","4","2","2",706,228.135416666667,"Boroondara",-37.8573,145.0904
"Glen Iris","21 Park Rd","5","h",2100000,"S","Jellis","27-11-16",9.2,"3146","5","3","2",696,228.135416666667,"Boroondara",-37.8478,145.0566
"Glen Iris","14 Queens Pde","5","h",2410000,"PI","Marshall","27-11-16",9.2,"3146","5","2","2",654,354,"Boroondara",-37.8515,145.0922
"Glen Iris","30 Valley Pde","4","h",2100000,"PI","Marshall","27-11-16",9.2,"3146","4","2","2",645,216,"Boroondara",-37.8516,145.061
"Glen Iris","15 Yeovil Rd","4","h",2950000,"S","Kay","27-11-16",9.2,"3146","4","2","2",1485,295,"Boroondara",-37.8509,145.0856
"Glen Iris","3 Fairview Gr","5","h",3365000,"S","RT","28-05-16",9.2,"3146","5","2","2",1339,270,"Stonnington",-37.8649,145.0547
"Glen Iris","1 Rosedale Rd","4","h",1390000,"S","Noel","28-05-16",9.2,"3146","3","2","3",397,228.135416666667,"Boroondara",-37.8578,145.068
"Glen Iris","59 Staughton Rd","4","h",1802000,"S","J","28-05-16",9.2,"3146","4","3","2",394,228.135416666667,"Boroondara",-37.8523,145.0603
"Glen Iris","8 Barbara Av","3","h",1950000,"S","Jellis","28-08-16",9.2,"3146","3","1","2",665.54375,228.135416666667,"Boroondara",-37.855785,145.0673
"Glen Iris","2 Bell St","3","h",1310000,"S","Marshall","28-08-16",9.2,"3146","3","1","2",464,228.135416666667,"Boroondara",-37.8539,145.0702
"Glen Iris","24 Brandon St","3","h",1931000,"S","Jellis","28-08-16",9.2,"3146","3","2","2",648,193,"Boroondara",-37.8547,145.0771
"Glen Iris","13 Penrhyn Av","4","h",1528800,"S","hockingstuart","28-08-16",9.2,"3146","4","2","2",665.54375,228.135416666667,"Boroondara",-37.855785,145.0673
"Glen Iris","45 Rosedale Rd","4","h",2000000,"PI","RT","28-08-16",9.2,"3146","3","2","4",401,228.135416666667,"Boroondara",-37.8583,145.0726
"Glen Iris","318 Tooronga Rd","2","h",1250000,"S","Marshall","28-08-16",9.2,"3146","2","1","2",438,107,"Stonnington",-37.8511,145.0428
"Glen Iris","35 Adrian St","5","h",2400000,"VB","Jellis","30-07-16",9.2,"3146","5","3","2",709,672,"Boroondara",-37.8529,145.0806
"Glen Iris","5 Penrhyn Av","2","h",1541000,"S","Marshall","30-07-16",9.2,"3146","2","1","2",665.54375,228.135416666667,"Boroondara",-37.855785,145.0673
"Glenroy","89 John St","3","h",610000,"S","Ray","03-09-16",13,"3046","3","1","2",696,118,"Moreland",-37.6972,144.9431
"Glenroy","18 Pengana Av","3","h",681500,"S","Barry","03-09-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","52 Tarana Av","3","h",640000,"S","Nelson","03-09-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","11 Valley Cr","3","h",712000,"S","Eview","03-09-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","55 Daley St","3","h",610000,"S","Walshe","03-12-16",13,"3046","3","1","3",640,144,"Moreland",-37.6979,144.9335
"Glenroy","62 Farview St","3","h",500000,"S","Nelson","03-12-16",13,"3046","3","1","1",336,146.922448979592,"Moreland",-37.7088,144.9356
"Glenroy","82 Melbourne Av","3","h",800000,"S","Stockdale","03-12-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","39 Morley St","3","h",806500,"S","Barry","03-12-16",13,"3046","3","1","2",766,127,"Moreland",-37.6988,144.9372
"Glenroy","23 Wheatsheaf Rd","5","h",1150000,"PI","Barry","03-12-16",13,"3046","5","3","2",700,146.922448979592,"Moreland",-37.7095,144.9253
"Glenroy","13 Acacia St","5","h",850000,"PI","Barry","04-03-17",13,"3046","5","3","1",487,146.922448979592,"Moreland",-37.7088,144.926
"Glenroy","21 Langton St","2","h",758000,"S","Stockdale","04-03-17",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","66 Langton St","3","h",590000,"S","Stockdale","04-03-17",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","2 Roy St","4","h",550000,"VB","Peter","04-03-17",13,"3046","4","2","1",683,138,"Moreland",-37.6964,144.9314
"Glenroy","42 Sadie St","3","h",822000,"S","Stockdale","04-03-17",13,"3046","3","1","4",700,105,"Moreland",-37.6988,144.9438
"Glenroy","15 Stanley St","3","h",980000,"SP","Brad","04-03-17",13,"3046","3","2","3",1029,136,"Moreland",-37.7115,144.9147
"Glenroy","15 Valley Cr","2","h",625000,"SP","Barry","04-03-17",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","28 Centre Wy","3","h",645150,"SP","Stockdale","04-06-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","20 Leonard Av","2","h",607000,"S","Barry","04-06-16",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","123 Glenroy Rd","3","h",670000,"S","Stockdale","06-08-16",13,"3046","3","1","1",652,146.922448979592,"Moreland",-37.7062,144.9261
"Glenroy","45 Stanley St","2","h",852500,"S","Barry","06-08-16",13,"3046","2","1","2",832,146.922448979592,"Moreland",-37.7126,144.9122
"Glenroy","46 Stanley St","4","h",1025000,"S","Burnham","06-08-16",13,"3046","4","2","4",1011,146.922448979592,"Moreland",-37.712,144.9127
"Glenroy","1c Barwon St","2","h",540000,"VB","Nelson","07-05-16",13,"3046","2","1","1",164,114,"Moreland",-37.7082,144.9178
"Glenroy","23 Tarana Av","3","h",625000,"S","Barry","07-05-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","13 Cherwell Av","5","h",665000,"S","Barry","07-11-16",13,"3046","5","3","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","79 Glen St","2","h",530000,"SP","Barry","07-11-16",13,"3046","2","1","2",643,146.922448979592,"Moreland",-37.6978,144.9276
"Glenroy","11 Caldwell St","3","h",721000,"S","YPA","08-10-16",13,"3046","3","1","2",674,146.922448979592,"Moreland",-37.7102,144.9362
"Glenroy","1 Gordon Ct","3","h",737000,"S","Stockdale","08-10-16",13,"3046","3","1","4",640,97,"Moreland",-37.6986,144.9243
"Glenroy","134 John St","3","h",575500,"S","hockingstuart","08-10-16",13,"3046","3","1","1",701,146.922448979592,"Moreland",-37.6953,144.9397
"Glenroy","4 Lyons St","3","h",600000,"S","Barry","08-10-16",13,"3046","3","1","2",702,146.922448979592,"Moreland",-37.6999,144.9387
"Glenroy","6 Cosmos St","3","h",691000,"S","Stockdale","10-09-16",13,"3046","3","1","2",753,146.922448979592,"Moreland",-37.7065,144.9374
"Glenroy","62 Everard St","3","h",500000,"S","Nelson","10-09-16",13,"3046","3","1","1",589,146.922448979592,"Moreland",-37.6993,144.9393
"Glenroy","108 Loongana Av","3","h",485000,"S","Raine","10-09-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","30 Bourchier St","3","h",670000,"PI","Brad","10-12-16",13,"3046","3","1","4",734,140,"Moreland",-37.7007,144.9378
"Glenroy","44 Daley St","3","h",572000,"S","Walshe","10-12-16",13,"3046","3","1","2",627,146.922448979592,"Moreland",-37.6974,144.9326
"Glenroy","6 Dromana St","4","h",702000,"S","Eview","10-12-16",13,"3046","4","1","4",606,124,"Moreland",-37.7104,144.9088
"Glenroy","137 Glenroy Rd","2","h",730000,"S","Barry","10-12-16",13,"3046","2","1","1",705,115,"Moreland",-37.706,144.9245
"Glenroy","116 Melbourne Av","2","h",680000,"S","Barry","10-12-16",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","24 Trevannion St","3","h",711500,"S","Stockdale","10-12-16",13,"3046","3","1","3",667,81,"Moreland",-37.7005,144.9185
"Glenroy","1 Tudor St","3","h",820000,"VB","Nelson","10-12-16",13,"3046","3","2","4",805,146.922448979592,"Moreland",-37.708,144.9211
"Glenroy","45 Cosmos St","5","h",810000,"S","Stockdale","11-03-17",13,"3046","5","4","4",695,176,"Moreland",-37.7028,144.9377
"Glenroy","41 Isla Av","2","h",438000,"S","Ray","12-06-16",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","19 Justin Av","4","h",835000,"S","Stockdale","12-11-16",13,"3046","4","2","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","24 Sadie St","3","h",793000,"S","Eview","12-11-16",13,"3046","3","1","2",780,120,"Moreland",-37.7,144.9427
"Glenroy","57 View St","3","h",596000,"S","Hodges","12-11-16",13,"3046","3","1","3",624,146.922448979592,"Moreland",-37.6967,144.9313
"Glenroy","39 Melbourne Av","3","h",670000,"S","Brace","14-05-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","16 Valley Cr","3","h",525000,"SP","Stockdale","14-05-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","149 Augustine Tce","3","h",447500,"S","Melbourne","15-10-16",13,"3046","3","1","1",320,130,"Moreland",-37.6949,144.9122
"Glenroy","45 Fran St","3","h",588000,"S","YPA","15-10-16",13,"3046","3","1","1",616,125,"Moreland",-37.7029,144.9053
"Glenroy","7 Isla Av","3","h",695000,"S","Stockdale","15-10-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","44 Widford St","3","h",688000,"S","Stockdale","15-10-16",13,"3046","3","1","4",700,146.922448979592,"Moreland",-37.7022,144.924
"Glenroy","57 Widford St","3","h",612500,"S","Stockdale","15-10-16",13,"3046","3","2","3",635,146.922448979592,"Moreland",-37.7006,144.9239
"Glenroy","64 Valley Cr","3","h",570000,"PI","Barry","16-04-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","40 View St","3","h",525000,"S","Brad","16-04-16",13,"3046","3","1","1",665,85,"Moreland",-37.6966,144.9331
"Glenroy","10 Anselm Gr","3","h",703000,"S","Eview","17-09-16",13,"3046","3","1","4",704,102,"Moreland",-37.7021,144.9136
"Glenroy","55 Fran St","5","h",705000,"PI","Barry","17-09-16",13,"3046","5","3","2",612,146.922448979592,"Moreland",-37.7022,144.9054
"Glenroy","21A Cosmos St","3","h",577000,"S","Barry","18-03-17",13,"3046","3","1","2",706,146.922448979592,"Moreland",-37.7053,144.9372
"Glenroy","97 Loongana Av","4","h",920000,"S","Professionals","18-03-17",13,"3046","4","2","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","139 John St","3","h",765500,"S","Barry","18-06-16",13,"3046","3","2","2",780,180,"Moreland",-37.6955,144.9389
"Glenroy","29 Melbourne Av","3","h",807000,"S","Stockdale","18-06-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","23 Palana St","3","h",565000,"S","Barry","18-06-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","1a Stella St","3","h",482500,"SP","Stockdale","18-06-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","108 Valley Cr","3","h",600000,"S","Stockdale","18-06-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","48 Everard St","3","h",580000,"S","Barry","19-11-16",13,"3046","3","1","2",650,142,"Moreland",-37.7002,144.9408
"Glenroy","1/80 Tarana Av","3","h",480000,"S","Raine","19-11-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","128 Widford St","3","h",710000,"S","Stockdale","19-11-16",13,"3046","3","1","1",796,104,"Moreland",-37.6955,144.9253
"Glenroy","54 Cromwell St","4","h",630000,"S","Stockdale","22-05-16",13,"3046","3","1","2",630,130,"Moreland",-37.7002,144.9232
"Glenroy","10a Melbourne Av","2","h",486500,"S","Nelson","22-05-16",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","106 Outlook Dr","3","h",600000,"S","Stockdale","22-05-16",13,"3046","3","1","4",541,139,"Moreland",-37.7051,144.9069
"Glenroy","30 Valley Cr","3","h",502500,"S","Stockdale","22-05-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","55 Paget Av","3","h",582000,"S","Nelson","22-08-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","46 Moonee Bvd","4","h",600000,"SP","Stockdale","23-04-16",13,"3046","4","1","2",586,159,"Moreland",-37.6975,144.9065
"Glenroy","47 Cardinal Rd","4","h",1217500,"S","Barry","24-09-16",13,"3046","4","3","2",693,192,"Moreland",-37.7111,144.9275
"Glenroy","135 Hilton St","3","h",600000,"SP","Barry","24-09-16",13,"3046","3","1","2",599,150,"Moreland",-37.7009,144.9291
"Glenroy","34 Melbourne Av","2","h",452000,"S","Barry","24-09-16",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","29 Moonee Bvd","3","h",570000,"PI","Barry","24-09-16",13,"3046","3","2","2",585,146,"Moreland",-37.6977,144.9071
"Glenroy","46 Sadie St","4","h",655000,"SP","Stockdale","24-09-16",13,"3046","4","1","2",695,146.922448979592,"Moreland",-37.6985,144.9441
"Glenroy","83 Beatty Av","3","h",645000,"S","Stockdale","25-02-17",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","118 Bindi St","3","h",500000,"SP","Nelson","25-02-17",13,"3046","3","1","4",677,146.922448979592,"Moreland",-37.695,144.9271
"Glenroy","65 Farview St","3","h",762700,"SP","Stockdale","25-02-17",13,"3046","3","1","4",597,100,"Moreland",-37.7097,144.9351
"Glenroy","52 Glenroy Rd","2","h",741250,"S","Barry","25-02-17",13,"3046","2","1","1",668,88,"Moreland",-37.7067,144.9331
"Glenroy","44 Everard St","4","h",787500,"S","Barry","27-06-16",13,"3046","4","2","2",650,146.922448979592,"Moreland",-37.7004,144.9411
"Glenroy","109 Paget Av","3","h",500000,"PI","Barry","27-06-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","6 Pengana Av","6","h",1035000,"S","Nelson","27-06-16",13,"3046","6","3","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","107 Glenroy Rd","4","h",1000000,"PI","Barry","27-11-16",13,"3046","4","2","8",977,304,"Moreland",-37.7063,144.9273
"Glenroy","4 Glenroy Rd","2","h",726335,"S","Eview","27-11-16",13,"3046","2","1","2",590,146.922448979592,"Moreland",-37.7072,144.938
"Glenroy","165 Hilton St","4","h",630000,"S","Stockdale","27-11-16",13,"3046","4","2","2",602,180,"Moreland",-37.7005,144.9258
"Glenroy","10 Justin Av","2","h",685000,"S","Stockdale","27-11-16",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","57 Maude Av","3","h",410000,"PI","Melbourne","27-11-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","72 Pecham St","3","h",670000,"S","Barry","27-11-16",13,"3046","3","1","3",705,135,"Moreland",-37.6967,144.9116
"Glenroy","3/48 William St","2","h",417000,"S","Stockdale","27-11-16",13,"3046","2","1","1",172,77,"Moreland",-37.7074,144.9086
"Glenroy","33 Maude Av","4","h",640000,"S","Melbourne","28-05-16",13,"3046","4","2","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","14 William St","3","h",501000,"SP","Raine","28-05-16",13,"3046","3","1","1",348,146.922448979592,"Moreland",-37.7119,144.9111
"Glenroy","23 Cromwell St","3","h",660000,"S","Barry","28-08-16",13,"3046","3","1","2",657,116,"Moreland",-37.7019,144.9225
"Glenroy","47 Justin Av","2","h",675000,"S","Brad","28-08-16",13,"3046","2","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","35 Paget Av","3","h",600000,"S","Barry","28-08-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","87 Plumpton Av","3","h",607000,"S","Eview","28-08-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","16 York St","3","h",722000,"S","Stockdale","28-08-16",13,"3046","3","1","3",781,146.922448979592,"Moreland",-37.7048,144.9097
"Glenroy","2/4 Ash Ct","2","h",270000,"PI","Ray","30-07-16",13,"3046","2","1","1",155,155,"Moreland",-37.6972,144.9239
"Glenroy","44 Morley St","4","h",825000,"S","Stockdale","30-07-16",13,"3046","4","2","4",768,194,"Moreland",-37.6979,144.9377
"Glenroy","34 Ridgeway Av","3","h",615000,"S","Melbourne","30-07-16",13,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Glenroy","33 View St","4","h",638000,"S","Barry","30-07-16",13,"3046","4","2","1",624,258,"Moreland",-37.6969,144.9334
"Gowanbrae","1 Gowanbrae Dr","3","h",631000,"S","Nelson","03-09-16",13.6,"3043","3","2","2",608,138,"Moreland",-37.709,144.8925
"Gowanbrae","12 Bluebell Cr","3","h",791000,"S","Nelson","04-03-17",13.6,"3043","3","1","2",428.0625,189.083333333333,"Moreland",-37.7071,144.8969
"Gowanbrae","13 Seggan Cir","3","h",500000,"S","Nelson","04-03-17",13.6,"3043","3","2","1",140,189.083333333333,"Moreland",-37.7071,144.8959
"Gowanbrae","41 Balerno Cir","3","h",504000,"S","Nelson","06-08-16",13.6,"3043","3","2","1",215,139,"Moreland",-37.709,144.8964
"Gowanbrae","1/2 Lanark Wy","3","h",550000,"VB","Nelson","10-12-16",13.6,"3043","3","1","2",428.0625,189.083333333333,"Moreland",-37.7071,144.8969
"Gowanbrae","8 Perth Ct","4","h",709000,"PI","Nelson","14-05-16",13.6,"3043","4","2","2",453,213,"Moreland",-37.7016,144.8974
"Gowanbrae","3 Gowanbrae Dr","3","h",700000,"SP","Nelson","16-04-16",13.6,"3043","3","2","2",691,189.083333333333,"Moreland",-37.7089,144.8927
"Gowanbrae","42 Seggan Cir","3","h",485000,"S","Nelson","16-04-16",13.6,"3043","3","2","1",175,134,"Moreland",-37.7076,144.8961
"Gowanbrae","41 Marigold Cr","3","h",690000,"SP","hockingstuart","18-03-17",13.6,"3043","3","1","2",428.0625,189.083333333333,"Moreland",-37.7071,144.8969
"Gowanbrae","6 Birk Ct","3","h",540000,"VB","Brad","19-11-16",13.6,"3043","3","2","1",367,141,"Moreland",-37.704,144.8989
"Gowanbrae","1 Bluebell Cr","4","h",600000,"PI","Nelson","22-08-16",13.6,"3043","4","2","2",428.0625,189.083333333333,"Moreland",-37.7071,144.8969
"Gowanbrae","24 Balerno Cir","3","h",390000,"PI","Nelson","23-04-16",13.6,"3043","3","2","1",158,136,"Moreland",-37.7091,144.8958
"Gowanbrae","49 Rutherglen Cr","3","h",626000,"S","Jellis","25-02-17",13.6,"3043","3","1","2",428.0625,189.083333333333,"Moreland",-37.7071,144.8969
"Gowanbrae","134 Marigold Cr","4","h",660000,"VB","Nelson","26-07-16",13.6,"3043","4","2","2",428.0625,189.083333333333,"Moreland",-37.7071,144.8969
"Gowanbrae","18 Primula Bvd","4","h",800000,"S","Nelson","26-07-16",13.6,"3043","4","2","2",719,251,"Moreland",-37.7062,144.8978
"Gowanbrae","14 Birk Ct","3","h",525000,"PI","Stockdale","27-06-16",13.6,"3043","3","2","1",223,189.083333333333,"Moreland",-37.704,144.8984
"Gowanbrae","8 Perth Ct","4","h",740000,"SP","Nelson","27-06-16",13.6,"3043","4","2","2",453,213,"Moreland",-37.7016,144.8974
"Gowanbrae","45 Marigold Cr","4","h",880000,"VB","Nelson","28-05-16",13.6,"3043","4","2","2",428.0625,189.083333333333,"Moreland",-37.7071,144.8969
"Hadfield","20 Bedford St","3","h",605000,"PI","hockingstuart","03-09-16",12.1,"3046","3","1","2",597,116,"Moreland",-37.711,144.9478
"Hadfield","1/1 Lockley St","3","h",570000,"S","Stockdale","03-09-16",12.1,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Hadfield","29 Sutherland St","3","h",685500,"SP","Brad","03-09-16",12.1,"3046","3","1","2",724,103,"Moreland",-37.7076,144.9481
"Hadfield","2 Knole St","2","h",610000,"S","Eview","03-12-16",12.1,"3046","2","1","1",394,98,"Moreland",-37.7153,144.9507
"Hadfield","8 Sherwood St","3","h",630000,"S","YPA","03-12-16",12.1,"3046","3","1","1",604,112,"Moreland",-37.7124,144.9514
"Hadfield","4 Surrey St","4","h",870000,"S","Barry","03-12-16",12.1,"3046","4","3","5",591,268,"Moreland",-37.7127,144.9489
"Hadfield","26 South St","3","h",810000,"S","Holland","04-03-17",12.1,"3046","3","2","2",592,129,"Moreland",-37.7149,144.9473
"Hadfield","70 West St","3","h",840000,"S","Barry","04-03-17",12.1,"3046","3","1","2",608,146.922448979592,"Moreland",-37.7114,144.9378
"Hadfield","16 Bedford St","5","h",585000,"S","YPA","04-06-16",12.1,"3046","5","2","1",590,146.922448979592,"Moreland",-37.711,144.9481
"Hadfield","41 Davies St","4","h",772500,"S","Stockdale","04-06-16",12.1,"3046","3","2","2",595,146.922448979592,"Moreland",-37.7116,144.9468
"Hadfield","10 Volga St","3","h",719000,"S","Eview","08-10-16",12.1,"3046","3","1","4",692,146.922448979592,"Moreland",-37.7084,144.9412
"Hadfield","115 West St","4","h",700000,"S","Barry","10-09-16",12.1,"3046","2","2","2",700,168,"Moreland",-37.7056,144.9384
"Hadfield","148 West St","4","h",600500,"S","YPA","10-09-16",12.1,"3046","4","2","1",462,161,"Moreland",-37.7062,144.9387
"Hadfield","27 Middle St","3","h",730000,"S","Barry","10-12-16",12.1,"3046","3","1","2",570,134,"Moreland",-37.7106,144.9491
"Hadfield","75 West St","3","h",800000,"S","Stockdale","10-12-16",12.1,"3046","3","2","2",565,116,"Moreland",-37.7094,144.9377
"Hadfield","25 Francis St","4","h",918000,"S","Brad","11-02-17",12.1,"3046","4","2","2",763,146.922448979592,"Moreland",-37.7123,144.9426
"Hadfield","40 Angus St","3","h",740000,"S","Barry","12-11-16",12.1,"3046","3","1","1",568,115,"Moreland",-37.7077,144.9438
"Hadfield","72 Middle St","3","h",721000,"S","Brad","12-11-16",12.1,"3046","3","1","3",539,146.922448979592,"Moreland",-37.7098,144.9446
"Hadfield","9 South St","3","h",646000,"S","YPA","12-11-16",12.1,"3046","3","1","2",574,106,"Moreland",-37.7157,144.9507
"Hadfield","1/32 Sutherland St","3","h",545000,"S","Raine","12-11-16",12.1,"3046","3","2","3",230,113,"Moreland",-37.7073,144.9486
"Hadfield","4 Thames St","3","h",770000,"S","Stockdale","12-11-16",12.1,"3046","3","1","2",700,146.922448979592,"Moreland",-37.705,144.9469
"Hadfield","1 Barunah St","4","h",777000,"S","Eview","13-08-16",12.1,"3046","3","1","2",700,176,"Moreland",-37.704,144.9399
"Hadfield","25 Larlac St","3","h",634000,"S","Nelson","13-08-16",12.1,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Hadfield","101 Middle St","2","h",722000,"S","Stockdale","13-08-16",12.1,"3046","3","3","1",580,103,"Moreland",-37.7098,144.9424
"Hadfield","23 Surrey St","2","h",545000,"SP","Stockdale","14-05-16",12.1,"3046","2","1","3",591,102,"Moreland",-37.7128,144.9471
"Hadfield","15 Lawrence St","3","h",660000,"S","YPA","15-10-16",12.1,"3046","3","1","2",631.715909090909,146.922448979592,"Moreland",-37.7081,144.9261
"Hadfield","11 Dickinson St","2","h",542500,"S","Ray","17-09-16",12.1,"3046","2","1","1",359,146.922448979592,"Moreland",-37.7133,144.9436
"Hadfield","24 Talbot St","3","h",631500,"S","Stockdale","18-06-16",12.1,"3046","4","1","3",593,95,"Moreland",-37.7133,144.947
